system:index,band,correlation,.geo
168,HH_SR_B2_contrast,-0.013005833399552665,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,HH_SR_B2_corr,0.0053028318002804305,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,HH_SR_B2_var,-0.012651752449946025,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,HH_SR_B2_idm,-0.0014812147279434204,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,HH_SR_B2_savg,-0.08876486303468972,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,HH_SR_B2_svar,-0.012295197556911473,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,HH_SR_B2_sent,0.004161758533806145,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,HH_SR_B2_ent,0.004119747952387746,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,HH_SR_B2_dvar,-0.015171670643786769,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,HH_SR_B2_dent,0.005260164395460252,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,HH_SR_B2_imcorr1,-9.394536247101657E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,HH_SR_B2_imcorr2,0.004503237615454835,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,HH_SR_B2_maxcorr,NaN,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,HH_SR_B2_diss,0.009603914548979959,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,HH_SR_B2_inertia,-0.013005833399552665,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,HH_SR_B2_shade,0.020408951249735765,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,HH_SR_B2_prom,-0.020475310419928176,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,HH_SR_B3_asm,-0.002280183996873366,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,HH_SR_B3_contrast,-0.012115129592456858,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,HH_SR_B3_corr,0.00379743436688154,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,HH_SR_B3_var,-0.011692655676885391,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,HH_SR_B3_idm,-0.001698078543380688,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,HH_SR_B3_savg,-0.1047743553281302,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,HH_SR_B3_svar,-0.011270503042105681,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,HH_SR_B3_sent,0.003248984758548548,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,HH_SR_B3_ent,0.0033188717615541415,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,HH_SR_B3_dvar,-0.014437310160512773,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,HH_SR_B3_dent,0.004055546464783406,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,HH_SR_B3_imcorr1,-8.440893173623341E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,HH_SR_B3_imcorr2,0.0025209233414976544,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,HH_SR_B3_maxcorr,NaN,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,HH_SR_B3_diss,0.005340938310222395,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,HH_SR_B3_inertia,-0.012115129592456858,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,HH_SR_B3_shade,0.020513273090831563,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,HH_SR_B3_prom,-0.020299862207364284,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,HH_SR_B4_asm,-0.003716789228452318,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,HH_SR_B4_contrast,-0.016374268955230944,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,HH_SR_B4_corr,0.0029261863296870276,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,HH_SR_B4_var,-0.01610038659787754,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,HH_SR_B4_idm,-0.00212529289879806,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,HH_SR_B4_savg,-0.10113162653315017,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,HH_SR_B4_svar,-0.01582421931980084,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,HH_SR_B4_sent,0.004810245649020352,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,HH_SR_B4_ent,0.005118771669211326,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,HH_SR_B4_dvar,-0.017747594516213265,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,HH_SR_B4_dent,0.005204000643690194,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,HH_SR_B4_imcorr1,-0.0017581105080271126,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,HH_SR_B4_imcorr2,0.005109326081094207,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,HH_SR_B4_maxcorr,NaN,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,HH_SR_B4_diss,-0.024455571384381296,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,HH_SR_B4_inertia,-0.016374268955230944,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,HH_SR_B4_shade,0.020704858432382484,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,HH_SR_B4_prom,-0.020375197811983742,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,HH_SR_B5_asm,-0.003943145227276355,"{""type"":""MultiPoint"",""coordinates"":[]}"
